INFO 2025-03-10 11:29:29,648 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-10 11:29:29,940 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_files/chatphoto.py first seen with mtime 1737433109.047861
DEBUG 2025-03-10 11:29:29,940 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/attr/_funcs.py first seen with mtime 1737433107.8740177
DEBUG 2025-03-10 11:29:29,940 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/template/engine.py first seen with mtime 1741546736.8401809
DEBUG 2025-03-10 11:29:29,940 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/coreapi/exceptions.py first seen with mtime 1737433109.0268705
DEBUG 2025-03-10 11:29:29,940 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_gifts.py first seen with mtime 1737433109.0429742
DEBUG 2025-03-10 11:29:29,940 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django_filters/rest_framework/__init__.py first seen with mtime 1737433109.0106804
DEBUG 2025-03-10 11:29:29,940 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_menubutton.py first seen with mtime 1737433109.0438662
DEBUG 2025-03-10 11:29:29,940 autoreload File /Users/aruka/miniconda3/lib/python3.12/copy.py first seen with mtime 1733935668.4143813
DEBUG 2025-03-10 11:29:29,940 autoreload File /Users/aruka/miniconda3/lib/python3.12/functools.py first seen with mtime 1733935668.4846933
DEBUG 2025-03-10 11:29:29,940 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_utils/__init__.py first seen with mtime 1737433109.0554895
DEBUG 2025-03-10 11:29:29,940 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/click/_compat.py first seen with mtime 1737543670.1336122
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_utils/entities.py first seen with mtime 1737433109.0559723
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/zstandard/backend_c.cpython-312-darwin.so first seen with mtime 1731356553.3569765
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/urllib3/contrib/__init__.py first seen with mtime 1727769978.1322525
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/db/models/functions/window.py first seen with mtime 1741546736.8302002
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_payment/stars/transactionpartner.py first seen with mtime 1737433109.055413
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/encodings/__init__.py first seen with mtime 1733935669.4941232
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/contrib/admin/apps.py first seen with mtime 1741546736.4880724
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_telegramobject.py first seen with mtime 1737433109.046066
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/httpx/_config.py first seen with mtime 1737433108.891759
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/httpx/_transports/default.py first seen with mtime 1737433108.893726
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/template/utils.py first seen with mtime 1741546736.8408022
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/asyncio/events.py first seen with mtime 1733935669.0212061
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/rest_framework/views.py first seen with mtime 1737622563.8507771
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/email/_policybase.py first seen with mtime 1733935669.3369899
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/rsa.py first seen with mtime 1732130249.392076
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/h11/_version.py first seen with mtime 1737433107.8210495
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/packaging/_musllinux.py first seen with mtime 1720101884.540912
DEBUG 2025-03-10 11:29:29,941 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/psycopg/errors.py first seen with mtime 1737620296.4452202
DEBUG 2025-03-10 11:29:29,942 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/rich/filesize.py first seen with mtime 1738003396.1438622
DEBUG 2025-03-10 11:29:29,942 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_payment/invoice.py first seen with mtime 1737433109.0540304
DEBUG 2025-03-10 11:29:29,942 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/psycopg/_tpc.py first seen with mtime 1737620296.4426591
DEBUG 2025-03-10 11:29:29,942 autoreload File /Users/aruka/miniconda3/lib/python3.12/socketserver.py first seen with mtime 1733935668.7888632
DEBUG 2025-03-10 11:29:29,942 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/contrib/admin/widgets.py first seen with mtime 1741546736.4893677
DEBUG 2025-03-10 11:29:29,942 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/core/files/temp.py first seen with mtime 1741546736.8133414
DEBUG 2025-03-10 11:29:29,942 utils (0.002) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-03-10 11:29:29,942 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/utils/http.py first seen with mtime 1741546736.8462458
DEBUG 2025-03-10 11:29:29,943 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/attr/_compat.py first seen with mtime 1737433107.8738453
